Time / s,LSPR peak wavelength / nm
676.2813,764.7491
677.2813,764.7469
678.2813,764.7494
679.2813,764.764
680.2813,764.7564
681.2813,764.7577
682.2813,764.7604
683.2813,764.7578
684.2813,764.7699
685.2813,764.7702
686.2813,764.7686
687.2813,764.7699
688.2813,764.7683
689.2813,764.7758
690.2813,764.7824
691.2813,764.77
692.2813,764.7731
693.2813,764.7756
694.2813,764.783
695.2813,764.7737
696.2813,764.7733
697.2813,764.7804
698.2813,764.7884
699.2813,764.7835
700.2813,764.7761
701.2813,764.7804
702.2813,764.7821
703.2813,764.7916
704.2813,764.7761
705.2813,764.789
706.2813,764.78
707.2813,764.7813
708.2813,764.7823
709.2813,764.7862
710.2813,764.7813
711.2813,764.7896
712.2813,764.7815
713.2813,764.778
714.2813,764.7865
715.2813,764.7827
716.2813,764.7811
717.2813,764.7767
718.2813,764.7769
719.2813,764.786
720.2813,764.7717
721.2813,764.7807
722.2813,764.768
723.2813,764.7758
724.2813,764.7776
725.2813,764.7842
726.2813,764.7834
727.2813,764.78
728.2813,764.7834
729.2813,764.7796
730.2813,764.7824
731.2813,764.7617
732.2813,764.7881
733.2813,764.7808
734.2813,764.7777
735.2813,764.7804
736.2813,764.7768
737.2813,764.7768
738.2813,764.7838
739.2813,764.7777
740.2813,764.7755
741.2813,764.7761
742.2813,764.7807
743.2813,764.7799
744.2813,764.7771
745.2813,764.7809
746.2813,764.7813
747.2813,764.7839
748.2813,764.7804
749.2813,764.7751
750.2813,764.7697
751.2813,764.7732
752.2813,764.7735
753.2813,764.7819
754.2813,764.7798
755.2813,764.7736
756.2813,764.7728
757.2813,764.7827
758.2813,764.7803
759.2813,764.7784
760.2813,764.7747
761.2813,764.774
762.2813,764.7756
763.2813,764.7777
764.2813,764.7776
765.2813,764.7854
766.2813,764.7764
767.2813,764.7875
768.2813,764.7889
769.2813,764.8014
770.2813,764.8016
771.2813,764.8175
772.2813,764.8299
773.2813,764.8732
774.2813,764.9076
775.2813,764.9344
776.2813,764.9732
777.2813,765.0284
778.2813,765.0926
779.2813,765.1432
780.2813,765.2112
781.2813,765.2887
782.2813,765.3603
783.2813,765.4663
784.2813,765.5324
785.2813,765.6084
786.2813,765.7033
787.2813,765.7749
788.2813,765.8481
789.2813,765.9176
790.2813,765.995
791.2813,766.0408
792.2813,766.0888
793.2813,766.1434
794.2813,766.1728
795.2813,766.2196
796.2813,766.254
797.2813,766.2737
798.2813,766.2961
799.2813,766.3213
800.2813,766.3418
801.2813,766.3524
802.2813,766.3676
803.2813,766.3812
804.2813,766.3948
805.2813,766.3991
806.2813,766.4162
807.2813,766.4129
808.2813,766.432
809.2813,766.4393
810.2813,766.4367
811.2813,766.4351
812.2813,766.4355
813.2813,766.4403
814.2813,766.4361
815.2813,766.4389
816.2813,766.4396
817.2813,766.4359
818.2813,766.4325
819.2813,766.4396
820.2813,766.4335
821.2813,766.4319
822.2813,766.4406
823.2813,766.4424
824.2813,766.4443
825.2813,766.4376
826.2813,766.4361
827.2813,766.442
828.2813,766.4353
829.2813,766.4457
830.2813,766.4464
831.2813,766.4366
832.2813,766.4549
833.2813,766.4502
834.2813,766.4439
835.2813,766.4547
836.2813,766.443
837.2813,766.449
838.2813,766.4485
839.2813,766.4493
840.2813,766.442
841.2813,766.4475
842.2813,766.4454
843.2813,766.4411
844.2813,766.4352
845.2813,766.4387
846.2813,766.4406
847.2813,766.4371
848.2813,766.4505
849.2813,766.437
850.2813,766.4352
851.2813,766.4426
852.2813,766.4321
853.2813,766.4496
854.2813,766.441
855.2813,766.4372
856.2813,766.4403
857.2813,766.4376
858.2813,766.4426
859.2813,766.4366
860.2813,766.4319
861.2813,766.4369
862.2813,766.4423
863.2813,766.4406
864.2813,766.4343
865.2813,766.4396
866.2813,766.4384
867.2813,766.4334
868.2813,766.4432
869.2813,766.4349
870.2813,766.435
871.2813,766.4339
872.2813,766.4366
873.2813,766.4349
874.2813,766.4379
875.2813,766.4337
876.2813,766.4342
877.2813,766.4283
878.2813,766.4239
879.2813,766.4254
880.2813,766.4269
881.2813,766.4281
882.2813,766.4313
883.2813,766.4319
884.2813,766.4215
885.2813,766.4095
886.2813,766.4104
887.2813,766.4042
888.2813,766.4213
889.2813,766.4065
890.2813,766.4096
891.2813,766.4063
892.2813,766.3987
893.2813,766.3978
894.2813,766.4336
895.2813,766.4464
896.2813,766.4439
897.2813,766.4984
898.2813,766.5115
899.2813,766.5215
900.2813,766.5478
901.2813,766.5729
902.2813,766.5819
903.2813,766.595
904.2813,766.5826
905.2813,766.5963
906.2813,766.5934
907.2813,766.5672
908.2813,766.5739
909.2813,766.5861
910.2813,766.5404
911.2813,766.5557
912.2813,766.5469
913.2813,766.5134
914.2813,766.4827
915.2813,766.4768
916.2813,766.4194
917.2813,766.4026
918.2813,766.3915
919.2813,766.3766
920.2813,766.3631
921.2813,766.3558
922.2813,766.3431
923.2813,766.2833
924.2813,766.3046
925.2813,766.2836
926.2813,766.2031
927.2813,766.2233
928.2813,766.1971
929.2813,766.1267
930.2813,766.1217
931.2813,766.0603
932.2813,766.0347
933.2813,766.0063
934.2813,765.9107
935.2813,765.804
936.2813,765.6047
937.2813,765.4211
938.2813,765.2715
939.2813,765.1696
940.2813,765.0941
941.2813,765.0217
942.2813,764.9689
943.2813,764.9237
944.2813,764.8683
945.2813,764.8438
946.2813,764.834
947.2813,764.8184
948.2813,764.8289
949.2813,764.815
950.2813,764.8761
951.2813,764.888
952.2813,764.8566
953.2813,764.8714
954.2813,764.8769
955.2813,764.8887
956.2813,764.9421
957.2813,764.9401
958.2813,764.9763
959.2813,764.9862
960.2813,764.9408
961.2813,764.8796
962.2813,764.829
963.2813,764.776
964.2813,764.7133
965.2813,764.6854
966.2813,764.622
967.2813,764.5703
968.2813,764.5309
969.2813,764.5063
970.2813,764.4886
971.2813,764.4891
972.2813,764.4803
973.2813,764.4971
974.2813,764.4901
975.2813,764.5003
976.2813,764.5129
977.2813,764.5234
978.2813,764.5239
979.2813,764.5282
980.2813,764.5439
981.2813,764.5334
982.2813,764.5389
983.2813,764.5434
984.2813,764.5354
985.2813,764.5334
986.2813,764.5286
987.2813,764.5165
988.2813,764.5132
989.2813,764.5062
990.2813,764.4948
991.2813,764.483
992.2813,764.458
993.2813,764.4457
994.2813,764.431
995.2813,764.411
996.2813,764.3969
997.2813,764.3686
998.2813,764.3495
999.2813,764.3169
1000.281,764.2914
1001.281,764.2704
1002.281,764.2455
1003.281,764.2229
1004.281,764.1884
1005.281,764.1777
1006.281,764.1507
1007.281,764.1126
1008.281,764.0968
1009.281,764.0767
1010.281,764.045
1011.281,764.0225
1012.281,763.9964
1013.281,763.9917
1014.281,763.9652
1015.281,763.9538
1016.281,763.9322
1017.281,763.9284
1018.281,763.9103
1019.281,763.9091
1020.281,763.9008
1021.281,763.8788
1022.281,763.8859
1023.281,763.8768
1024.281,763.8671
1025.281,763.862
1026.281,763.8607
1027.281,763.8555
1028.281,763.8519
1029.281,763.8425
1030.281,763.844
1031.281,763.8513
1032.281,763.8443
1033.281,763.8372
1034.281,763.8326
1035.281,763.8385
1036.281,763.8321
1037.281,763.8328
1038.281,763.8337
1039.281,763.8306
1040.281,763.8287
1041.281,763.8422
1042.281,763.8308
1043.281,763.8283
1044.281,763.8256
1045.281,763.8319
1046.281,763.822
1047.281,763.8264
1048.281,763.8218
1049.281,763.8197
1050.281,763.8159
1051.281,763.8255
1052.281,763.8235
1053.281,763.821
1054.281,763.8288
1055.281,763.8171
1056.281,763.8075
1057.281,763.8143
1058.281,763.8168
1059.281,763.8237
1060.281,763.8161
1061.281,763.8173
1062.281,763.821
1063.281,763.8213
1064.281,763.8167
1065.281,763.8155
1066.281,763.8153
1067.281,763.8269
1068.281,763.8203
1069.281,763.8129
1070.281,763.8125
1071.281,763.8203
1072.281,763.8185
1073.281,763.8175
1074.281,763.8157
1075.281,763.814
1076.281,763.8113
1077.281,763.8135
1078.281,763.8205
1079.281,763.8195
1080.281,763.8166
1081.281,763.8111
1082.281,763.8149
1083.281,763.8104
1084.281,763.8158
1085.281,763.8175
1086.281,763.8118
1087.281,763.8176
1088.281,763.8232
1089.281,763.8146
1090.281,763.8205
1091.281,763.81
1092.281,763.8094
1093.281,763.8166
1094.281,763.8201
1095.281,763.823
1096.281,763.8209
1097.281,763.8116
1098.281,763.823
1099.281,763.815
1100.281,763.8221
1101.281,763.8132
1102.281,763.8105
1103.281,763.8134
1104.281,763.8158
1105.281,763.8214
1106.281,763.8143
1107.281,763.8134
1108.281,763.8173
1109.281,763.8121
1110.281,763.8201
1111.281,763.8118
1112.281,763.8156
1113.281,763.8118
1114.281,763.8145
1115.281,763.8154
1116.281,763.8112
1117.281,763.8081
1118.281,763.8219
1119.281,763.8125
1120.281,763.8201
1121.281,763.8118
1122.281,763.8096
1123.281,763.8195
1124.281,763.8148
1125.281,763.8141
1126.281,763.8101
1127.281,763.8262
1128.281,763.8145
1129.281,763.8169
1130.281,763.8079
1131.281,763.8186
1132.282,763.8063
1133.29,763.8197
