Measured (averaged) LSPR peak wavelength \ nm,Given concentration ethylene glycol in water (percent),Fitted LSPR peak wavelength \ nm,Fitted concentration ethylene glycol in water (percent),One sigma uncertainty for fitted concentation ethylene glycol in water (percent)
,,762.012418018018,3.375828276386528,0.8318095644351496
,,762.0175390390391,3.428216869557218,0.8305237232517824
,,762.02266006006,3.4806054627269987,0.829240171221101
,,762.0277810810811,3.532994055898598,0.8279589189718793
,,762.0329021021021,3.5853826490683787,0.8266799772060537
,,762.0380231231231,3.6377712422390687,0.8254033566461019
,,762.0431441441442,3.6901598354097587,0.8241290681231883
,,762.0482651651652,3.742548428579539,0.8228571224185385
,,762.0533861861862,3.7949370217511387,0.8215875304575774
,,762.0585072072072,3.847325614920919,0.8203203031333407
,,762.0636282282283,3.899714208091609,0.8190554514302775
,,762.0687492492492,3.9521028012613897,0.8177929863712573
,,762.0738702702703,4.004491394432989,0.8165329190531899
,,762.0789912912913,4.056879987603679,0.8152752605580273
