Reference_SiO2,,Sample_A,,Sample_B,,Sample_C,,Sample_D,,Sample_E,,Sample_F,,Sample_G,,Sample_G_flipped,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
1066.999512,0.006946018897,1066.999512,0.001844013343,1066.999512,0.03521936387,1066.999512,0.003444680711,1066.999512,0.005018272903,1066.999512,0.02670315094,1066.999512,0.01427295338,1066.999512,0.01028429158,1066.999512,0.007695335895,
1066.00647,0.002366953995,1066.00647,0.0006935985875,1066.00647,0.02442271076,1066.00647,0.005846670363,1066.00647,0.00803149119,1066.00647,0.01505346783,1066.00647,0.008985994384,1066.00647,0.006965430919,1066.00647,0.005182678346,
1065.012939,0.01624373905,1065.012939,0.01278932113,1065.012939,0.04067604616,1065.012939,0.01072409377,1065.012939,0.01065834984,1065.012939,0.03262769431,1065.012939,0.01757456735,1065.012939,0.004909218289,1065.012939,0.01671288908,
1063.988525,0.002788360231,1063.988525,0.001656933688,1063.988525,0.03605366871,1063.988525,0.0007435115986,1063.988525,0.004664109554,1063.988525,0.02547498606,1063.988525,0.008861963637,1063.988525,0.009771458805,1063.988525,0.007202525623,
1062.99353,-0.00706373062,1062.99353,-0.000187373982,1062.99353,0.02356076986,1062.99353,-0.002533510793,1062.99353,-0.0006841964205,1062.99353,0.01858858392,1062.99353,0.00397294946,1062.99353,0.0005861171521,1062.99353,0.001209392212,
1061.997803,0.001763042994,1061.997803,0.01005088631,1061.997803,0.02958638407,1061.997803,0.006999733392,1061.997803,0.001072251005,1061.997803,0.02015406825,1061.997803,0.01036318112,1061.997803,-0.004540294409,1061.997803,-0.000673858216,
1061.001465,0.003687483259,1061.001465,0.00222637644,1061.001465,0.02512527816,1061.001465,0.003293242306,1061.001465,-0.00282021123,1061.001465,0.01505129691,1061.001465,0.01018469222,1061.001465,-0.0009990320541,1061.001465,0.0028682712,
1060.004272,0.0008618996362,1060.004272,0.000284139649,1060.004272,0.02141914144,1060.004272,0.002406985965,1060.004272,-0.007718842477,1060.004272,0.01813073456,1060.004272,0.0009974436834,1060.004272,-0.006214754656,1060.004272,-0.006334775593,
1059.006592,-0.002115212148,1059.006592,-0.003691704944,1059.006592,0.025321953,1059.006592,0.002458606148,1059.006592,-0.009025804698,1059.006592,0.01890648529,1059.006592,0.007699104026,1059.006592,-0.002859507222,1059.006592,0.001680658548,
1058.008057,-0.0004346666683,1058.008057,0.004663010594,1058.008057,0.03631279245,1058.008057,0.01080388669,1058.008057,0.003955655731,1058.008057,0.03153795376,1058.008057,0.009527984075,1058.008057,0.003190461546,1058.008057,0.008641547523,
1057.008911,-0.003175545949,1057.008911,0.004118692596,1057.008911,0.02832965739,1057.008911,0.002596212085,1057.008911,-0.005394183099,1057.008911,0.01946758293,1057.008911,0.002601446351,1057.008911,0.007027987856,1057.008911,-0.002872313838,
1056.009033,0.00328179216,1056.009033,0.007659055293,1056.009033,0.03361139446,1056.009033,0.007514884695,1056.009033,-0.003208540147,1056.009033,0.0261950139,1056.009033,0.01694928482,1056.009033,0.00274318736,1056.009033,0.00665496476,
1055.008423,-0.00524126878,1055.008423,-0.002638858743,1055.008423,0.02481255122,1055.008423,0.0004056931357,1055.008423,-0.00663631456,1055.008423,0.01882194541,1055.008423,0.007692990825,1055.008423,-0.0005481258268,1055.008423,0.001926844823,
